ReefID,YEAR,lat,lon,bleach_score
10-325,1998,-10.6782,142.7372,1
10-336,1998,-10.8212,142.7646,1
10-338,1998,-10.8014,142.9828,1
11-001,1998,-11.0095,142.9863,1
11-001,2002,-11.0081,142.9874,1
11-025,1998,-11.0722,143.0911,1
11-026,1998,-11.115,143.0243,1
11-035,1998,-11.182,143.0291,2
11-035,2002,-11.1806,143.0302,1
11-038,1998,-11.2421,142.9983,1
11-052,1998,-11.3915,143.0718,1
11-055,1998,-11.4557,143.0409,1
11-061,1998,-11.4866,143.0367,1
11-136,1998,-11.5963,142.9375,1
11-138,1998,-11.7332,142.9853,1
11-139,1998,-11.7608,142.9722,2
11-142,1998,-11.7732,142.9352,1
11-150,1998,-11.8446,142.9376,2
11-156,1998,-11.5523,143.0157,1
11-161,1998,-11.5957,143.0087,1
11-176,1998,-11.8963,143.1063,3
11-176,2002,-11.8949,143.1073,1
11-187,1998,-11.9621,143.27,1
11-191,1998,-11.988,143.2637,1
12-001,1998,-12.0315,143.3003,1
12-004,1998,-12.0975,143.2639,1
12-007,1998,-12.1437,143.3712,1
12-010,1998,-12.2347,143.2849,1
12-088,2002,-12.78,143.4128,1
12-089,2002,-12.7831,143.487,1
12-115,1998,-12.7693,143.6082,2
12-119,1998,-12.8099,143.6095,2
13-083,2002,-13.6662,143.6905,3
13-091,2002,-13.7714,143.6405,2
13-097,2002,-13.868,143.7141,2
13-111,2002,-13.9438,143.7544,3
14-006,2002,-14.0645,143.8554,3
14-008,2002,-14.078,143.9112,3
14-018,1998,-14.1012,144.3202,1
14-022,2002,-14.1273,143.999,3
14-038,2002,-14.1203,144.5246,2
14-042a,2002,-14.1737,144.2789,3
14-061,2002,-14.3603,144.758,1
14-063,2002,-14.4143,144.9504,3
14-064,2002,-14.4262,144.8908,1
14-065,2002,-14.4255,144.8113,1
14-085,2002,-14.4448,145.4104,1
14-086,2002,-14.4526,145.481,1
14-089,2002,-14.4984,145.5367,1
14-090,2002,-14.4952,144.9678,1
14-094,2002,-14.5212,144.9739,2
14-097,2002,-14.5395,144.9903,1
14-104,2002,-14.6143,144.9353,1
14-106,2002,-14.6845,144.9526,3
14-107a,2002,-14.7119,144.9937,3
14-116c,2006,-14.69,145.47,1
14-116d,2002,-14.6856,145.4493,1
14-119b,2002,-14.7202,145.1618,3
14-120a,1998,-14.733,145.1854,1
14-120a,2002,-14.7315,145.1865,3
14-120b,1998,-14.7354,145.199,1
14-120c,1998,-14.7307,145.1789,2
14-120e,2002,-14.7013,145.2039,3
14-120f,1998,-14.7157,145.1924,1
14-122a,2002,-14.732,145.1012,3
14-122b,2002,-14.7362,145.0826,3
14-126,2006,-14.79,145.35,1
14-132a,2002,-14.8547,145.4811,1
14-132b,2002,-14.8657,145.5293,1
14-135,2002,-14.9383,145.4855,2
14-137,1998,-14.55,145.5833,2
14-140,2002,-14.6644,145.6499,1
14-143,2002,-14.741,145.5114,1
14-150,2002,-14.8814,145.5576,1
14-154,2002,-14.9916,145.7022,1
15-002,1998,-15.0248,145.4408,1
15-002,2002,-15.0233,145.4419,1
15-003,1998,-15.0986,145.3832,3
15-005,1998,-15.1104,145.4232,2
15-006,1998,-15.1398,145.3165,3
15-008,1998,-15.1604,145.2671,3
15-009,2002,-15.1657,145.4963,1
15-012,1998,-15.4142,145.4304,1
15-012,2002,-15.4127,145.4314,1
15-013,1998,-15.4743,145.4174,2
15-019,2002,-15.0505,145.5672,1
15-021a,2002,-15.075,145.7221,1
15-024,2002,-15.1405,145.5761,2
15-028,2002,-15.2075,145.5571,1
15-033,2002,-15.2908,145.5758,2
15-034,2002,-15.3145,145.7636,1
15-038,2002,-15.365,145.7817,1
15-039,2002,-15.3594,145.586,2
15-043,2002,-15.4275,145.5087,1
15-052,2002,-15.5346,145.3525,1
15-063,1998,-15.711,145.3943,3
15-064,1998,-15.7433,145.4372,3
15-065,1998,-15.7355,145.4554,3
15-066,1998,-15.937,145.3952,2
15-069,1998,-15.9984,145.4376,2
15-071a,2002,-15.5133,145.5364,1
15-078,2002,-15.5534,145.527,1
15-089,1998,-15.7796,145.5803,2
15-089,2002,-15.7781,145.5814,3
15-090,2002,-15.7921,145.7971,1
15-093,2002,-15.8739,145.5741,2
15-094,2002,-15.8758,145.7943,1
15-095,2002,-15.9057,145.6581,3
15-098,2002,-15.9743,145.6702,2
16-005,1998,-16.2467,145.485,3
16-015,2002,-16.045,145.6507,2
16-019,1998,-16.1083,145.8351,2
16-020a,2002,-16.1233,145.6901,1
16-023,2002,-16.1935,145.6964,2
16-029,1998,-16.4152,145.766,2
16-029,2002,-16.4137,145.767,1
16-046,1998,-16.6745,145.939,1
16-049,1998,-16.769,145.9912,2.5
16-049,2002,-16.7675,145.9923,3
16-055,1998,-16.9229,146.0021,3
16-055,2002,-16.9214,146.0032,3
16-063,1998,-16.691,146.2528,2
16-064,1998,-16.7012,146.0509,1.5
16-068,2002,-16.8015,146.18234999999999,2.5
16-071,2002,-16.8715,146.21285,2
16-073,2002,-16.9151,146.2486,2
16-074,1998,-16.94,146.2069,1.5
17-004,1998,-17.0748,146.1848,2
17-004,2002,-17.0732,146.1858,1
17-010,1998,-17.1857,146.2909,2
17-010,2002,-17.1841,146.292,2
17-011,1998,-17.1967,146.3669,3
17-011,2002,-17.1952,146.3679,3
17-017,1998,-17.2957,146.3646,2.5
17-017,2002,-17.2942,146.3657,2
17-023,2002,-17.4752,146.4589,2
17-024,1998,-17.4856,146.3902,2
17-024,2002,-17.484,146.3912,1
17-034,1998,-17.5303,146.3776,3
17-034,2002,-17.5288,146.3787,2
17-035,1998,-17.5256,146.5242,1.5
17-035,2002,-17.5241,146.5252,2
17-037,1998,-17.6129,146.4517,1
17-037,2002,-17.6114,146.4528,3
17-042,1998,-17.6569,146.4651,2
17-042,2002,-17.6554,146.4662,2
17-044,1998,-17.7247,146.3947,2.5
17-044,2002,-17.7232,146.3958,1
17-047,1998,-17.7702,146.4392,2
17-047,2002,-17.7686,146.4403,1
17-051,1998,-17.8491,146.4868,2
17-051,2002,-17.8476,146.4879,2
17-059a,1998,-17.7015,146.5441,3
17-062,2002,-17.7736,146.6466,1
17-063a,1998,-17.7915,146.5171,1
17-063a,2002,-17.79,146.5182,1
17-066,1998,-17.886366666666667,146.58966666666666,3
17-066,2002,-17.8857,146.5886,2
17-068,1998,-17.9458,146.7954,2
17-069,1998,-17.9972,146.7745,1
17-069,2002,-17.9957,146.7756,1
18-017,1998,-18.0398,146.787,2
18-018,1998,-18.0529,146.5574,3
18-018,2002,-18.0514,146.5585,2
18-023,1998,-18.137,146.9711,1
18-023,2002,-18.1354,146.9721,1
18-024,1998,-18.22,146.73,3
18-024,2002,-18.2285,146.7297,1
18-026,2002,-18.3228,146.7453,1
18-027,1998,-18.3523,146.8274,1
18-027,2002,-18.3508,146.8285,1
18-029,1998,-18.4091,146.7066,1.5
18-030,1998,-18.432399999999998,146.99046666666666,1
18-030,2002,-18.43,146.99,2
18-032,1998,-18.4804,146.8729,1
18-032,2002,-18.4789,146.874,1
18-034,1998,-18.265533333333334,147.38413333333332,1
18-037,2002,-18.3586,147.2047,2
18-048,1998,-18.56,146.4865,3
18-048,2002,-18.5585,146.4876,1
18-049a,1998,-18.605166666666666,146.48536666666666,3
18-049b,1998,-18.6355,146.4939,3
18-049c,1998,-18.66075,146.48534999999998,3
18-049c,1999,-18.6587,146.4852,1
18-049d,1998,-18.6408,146.505,3
18-049e,1998,-18.5948,146.4973,3
18-052a,1998,-18.66433333333333,146.5614,3
18-053,1998,-18.67,146.51,3
18-054a,1998,-18.715666666666667,146.5734,2.3333333333333335
18-054b,1998,-18.76,146.61,2
18-054d,1998,-18.7417,146.6917,3
18-054e,1998,-18.7406,146.6362,3
18-054f,1998,-18.6966,146.5976,3
18-054g,1998,-18.6838,146.5824,3
18-058,1998,-18.7703,146.549,3
18-059,1998,-18.7757,146.5197,3
18-062,1998,-18.7789,146.5343,3
18-064,1998,-18.831,146.52440000000001,3
18-065,1998,-18.8445,146.5365,3
18-066,1998,-18.9654,146.6298,3
18-066,2002,-18.9638,146.6309,1
18-070,2002,-18.4999,147.4445,1
18-074,1998,-18.5659,147.4941,1
18-074,2002,-18.5644,147.4952,1
18-075,1998,-18.63,147.05,1
18-075,1999,-18.6236,147.0549,1
18-075,2002,-18.6312,147.05225000000002,2
18-078,1998,-18.694866666666666,147.10013333333333,1.3333333333333333
18-078,2002,-18.6958,147.1013,1
18-080,2002,-18.508,147.5404,1
18-091,1998,-18.7747,147.7103,1
18-096,2002,-18.8224,147.6467,2
18-099,1998,-18.8572,147.8919,1
18-100a,2002,-18.9103,147.745,2
18-101,1998,-18.9038,147.9568,1.5
18-101,2002,-18.9023,147.9579,3
19-007,1998,-19.1167,146.758,3
19-009a,2002,-19.1735,146.8149,3
19-010,1998,-19.1917,146.842,3
19-010,2002,-19.1875,146.8414,2
19-011,1998,-19.198900000000002,146.81466666666668,3
19-011,2002,-19.1981,146.8156,2
19-038b,1998,-19.1766,148.3833,1
19-038b,2002,-19.1751,148.3844,2
19-045,2002,-19.298,148.0791,3
19-048,2002,-19.3839,148.0879,3
19-061,2002,-19.2152,148.9025,3
19-066,1998,-19.3419,148.6335,2
19-067,1998,-19.3605,148.636,2
19-071,2002,-19.429,148.6608,2
19-074b,2002,-19.4378,148.8531,1
19-076,2002,-19.4922,148.9003,1
19-097,2002,-19.4948,149.048,1
19-098,2002,-19.5028,149.1215,1
19-128,2002,-19.6866,149.1924,2
19-135,2002,-19.762,149.2332,2
19-146,2002,-19.6118,149.6345,1
19-147,2002,-19.6313,149.6697,1
19-149,2002,-19.6106,149.7257,1
19-151,2002,-19.6164,149.8498,1
19-159,2002,-19.6652,149.9265,1
19-167,2002,-19.6934,149.9776,1
20-014,1998,-20.0655,148.8902,3
20-014,2002,-20.064,148.8912,3
20-017,2002,-20.0825,148.8931,2
20-019,2002,-20.0895,148.879,3
20-028f,2002,-20.0705,148.9047,2
20-028h,1998,-20.06615,148.95355,2.5
20-028h,2002,-20.0641,148.9499,3
20-034,2002,-20.2484,148.8318,3
20-067a,1998,-20.169066666666666,149.03,1
20-067a,2002,-20.16605,149.03050000000002,1.5
20-112,2002,-20.1312,149.9402,1
20-131,2002,-20.1417,150.4446,1
20-134,2002,-20.2973,150.104,2
20-135,2002,-20.342,150.134,1
20-137,2002,-20.3503,150.0971,3
20-138,2002,-20.3445,150.1992,2
20-146,2002,-20.471,150.2902,1
20-252,2002,-20.6791,149.14195,2.5
20-255,1998,-20.69995,149.2045,1.5
20-263,1998,-20.7675,149.4329,1
20-269,1998,-20.7812,149.3931,1
20-291,2002,-20.9521,149.7394,2
20-292,2002,-20.9838,149.7759,2
20-299c,2002,-20.6508,150.4597,1
20-301a,2002,-20.6804,150.2294,1
20-301b,2002,-20.6575,150.2882,1
20-304,2002,-20.7171,150.4698,1
20-305,2002,-20.7812,150.4849,1
20-306,2002,-20.7989,150.4522,2
20-307,2002,-20.8209,150.381,2
20-308,2002,-20.8572,150.3798,3
20-310,2002,-20.9608,150.0807,2
20-326,2002,-20.627,150.8025,1
20-351c,2002,-21.0121,150.5227,1
21-025,2002,-21.0167,149.898,2
21-034,1998,-21.3667,149.825,3
21-057,2002,-21.1236,150.4809,1
21-070,2002,-21.1358,150.789,1
21-071,2002,-21.1363,150.7633,1
21-072,2002,-21.1657,150.6622,1
21-290,2002,-21.2034,152.5227,2
21-300a,2002,-21.391750000000002,152.5067,1.5
21-303,2002,-21.4638,152.5207,1
21-334,1998,-21.6071,149.7821,2
21-386,1998,-21.5205,150.2574,2
21-556,2006,-21.98,152.48,1
22-086,2002,-22.0146,152.4498,3
23-004b,1998,-23.084,150.8919,3
23-004b,2002,-23.0824,150.8929,3
23-010,1998,-23.1693,150.9147,3
23-010,2002,-23.1678,150.9158,3
23-010,2006,-23.16,150.92,3
23-012b,1998,-23.1527,150.9745,3
23-012b,2002,-23.1511,150.9756,3
23-012c,1991,-23.1667,150.9833,2
23-012c,1998,-23.1741,150.9851,3
23-012c,2002,-23.1725,150.9861,3
23-012e,2002,-23.1886,150.9347,3
23-014,1998,-23.2,150.9715,3
23-014,2002,-23.1984,150.9725,3
23-031a,1998,-23.1642,151.0697,3
23-031a,2002,-23.16305,151.07535000000001,3
23-052a,1998,-23.4509,151.9647,1
23-052a,2002,-23.4493,151.9657,1
23-053,1998,-23.4713,151.8803,2
23-054,1998,-23.4393,152.0276,3
23-055a,1998,-23.5004,152.0637,1.5
23-068,1998,-23.5039,151.773,3
23-071,1998,-23.5635,151.683,3
23-078,1998,-23.6966,152.1829,2
