Reef,ReefID,Lat,Long,1996,1997,1998,2004,2015,2016,2017,2018
Dugong,10-576,-10.530853,143.101496,1,,,,,,,1
Bayag,10-582a,-10.56833333,143.2525,1,,,,,,,1
AuMasig,10-583,-10.484,143.304,1,,,,,,,1
10-344,10-344,-10.99002266,142.7663879,,1,,,,,,
10-346,10-346,-10.638407,143.224169,,1,,,,,,
Wap,10-585,-10.5515,143.3383333,,1,,,,,,
Mac,14-114,-14.6519022,145.4910278,1,,,,,,,1
Lizard (Suspect North),14-116north,-14.645426,145.455195,,,,,,,,
Lizard (Vickies = lagoon),14-116vickies,-14.68174141,145.4474337,,,,,,,,
Lizard (South),14-116south,-14.703141,145.45431,,,,,,,,
Lizard (North West/ Turtle Beach),14-116a,-14.65856457,145.4469452,,,,,,,,
Lizard (Resort),14-116resort,-14.666057,145.447444,,,,,,,,
Lizard (Osprey),14-116osprey,-14.666808,145.443796,,,,,,,,
Lizard (Lizard Head/Coconut Bay),14-116c,-14.68106556,145.4723206,,,,,,,,
Lizard (Lagoon 1/2/Horseshoe),14-116d,-14.68557739,145.4498138,,,,,,,,
Lizard Unknown,14-116,-14.65501785,145.4661102,,,,,,,,
Lizard (North East),14-116b,-14.65501785,145.4661102,1,1,1,,,1,1,1
Eyrie,14-118,-14.71065998,145.3792572,1,,,,,,,1
TurtleNorth,14-119,-14.7171,145.1628,,,,,1,,1,1
TurtleSouth,14-120,-14.7355,145.2007,,,,,1,,1,1
RockyIslet,14-132a,-14.85496998,145.4799347,,1,,,,,,
NthDirection,14-143,-14.74591541,145.5106812,,1,,,,,,
SthDirection,14-147b,-14.81170082,145.5207214,,1,,,,,,
Trunk,18-027,-18.35411644,146.8318176,1,,,,,,,1
Bramble,18-029,-18.4081955,146.7061615,1,,,1,,,,1
Rib,18-032,-18.48267555,146.8711853,1,,,1,,,,1
18-022,18-022,-18.11701775,146.7663269,,1,,,,,,
Britomart,18-024,-18.22864151,146.726471,,1,,,,,,
18-025,18-025,-18.26096916,146.8980713,,1,,,,,,
Wheeler,18-003,-18.02551842,146.1663361,,,,1,,,,
Coil,18-046,-18.43486214,147.5223999,,,,1,,,,
Helix,18-076,-18.62459183,147.2984314,,,,1,,,,
Knife,18-081,-18.57635307,147.5714874,,,,1,,,,
Chicken,18-086,-18.64651299,147.7172394,,,,1,,,,
Cobham,19-074b,-19.43570137,148.8544312,1,,,,,,,1
Martin,19-075,-19.4805069,148.8240814,1,,,,,,,1
Showers,19-076,-19.49141884,148.8985901,1,,,,,,,1
Eulalie,19-091,-19.34141922,149.4161682,,,,1,,,,
Fairey,19-109a,-19.53862,148.9433594,,,,1,,,,
Outlier,19-120,-19.54730606,149.3528748,,,,1,,,,
Hardy,19-135,-19.76042366,149.2333069,,,,1,,,,
Bait,19-137,-19.80712891,149.0735931,,,,1,,,,
Stucco,19-141,-19.55791283,149.5975189,,,,1,,,,
Plaster,19-147,-19.62962532,149.669754,,,,1,,,,
Boulton,20-146,-20.46800613,150.2905426,,1,,,,,,
LittleSteven,20-294,-20.56435394,150.0518646,,1,,,,,,
BigSteven,20-295,-20.57020569,150.1259766,,1,,,,,,
21-071,21-071,-21.13590622,150.7631226,1,,,,,,,
21-072,21-072,-21.16360283,150.6603546,1,,,,,,,
21-074,21-074,-21.15646553,150.8449554,1,,,,,,,
Heron,23-052a,-23.44615173,151.9711304,1,,,,,,,1
Wistari,23-053,-23.46987534,151.876709,1,,,,,,,1
Sykes,23-054,-23.43322182,152.0337524,1,,,,,,,1
OneTree,23-055a,-23.4956665,152.061142,,1,,,,,,
Lamont,23-076,-23.59870148,152.0274353,,1,,,,,,
Fitzroy,23-077,-23.63306427,152.1474304,,1,,,,,,